"10",6201,472,244,5,0,8,14,206,319,36,10452,2,655,1143,1279,2,5,455,23,1,379,4,14,2,2,7,4,1,4,18,2,0,0,2,0,129,6,113,0,11,3,3,11,763,26,240,10,11,28,365,69,31,8,16,7,8,1,2,0,0,0,1,1,0,13,2,1,0,3,10,1,0,4,2,10,46,19,7,8,1,10
"11",1013,122,268,15,5,204,96,49,146,7,2,4707,34,9,54,0,1,38,1,3,199,2,5,0,3,0,0,0,3,100,0,0,0,0,0,31,5,7,0,1,0,0,3,46,4,16,2,2,12,19,14,3,8,0,0,1,0,1,0,0,0,0,0,2,4,0,1,0,1,3,0,0,22,0,1,4,12,4,0,0,0
"12",7675,779,331,3,3,20,24,843,472,56,109,5,11267,443,880,0,2,288,12,0,491,11,13,0,3,2,4,1,2,20,1,0,4,2,0,133,8,134,2,10,0,10,16,1306,47,552,19,27,49,470,86,68,20,20,6,9,2,5,4,3,0,0,0,0,20,0,1,2,2,0,5,0,4,2,3,58,21,11,8,9,3
"13",5959,502,235,3,6,8,10,1889,367,37,503,1,940,9524,1278,1,2,385,21,1,358,9,7,0,2,4,2,2,3,19,0,3,2,1,0,138,12,125,3,8,0,4,6,943,29,330,16,18,36,351,86,39,8,37,14,9,1,1,6,2,2,0,2,0,14,2,3,4,9,3,6,0,4,3,4,34,41,3,3,8,12
"14",5471,542,299,12,5,13,14,835,390,33,106,11,308,304,11021,0,2,791,12,3,311,14,9,0,11,9,4,4,4,29,3,0,4,1,1,218,17,351,3,14,4,7,47,695,28,112,9,24,13,323,71,16,17,17,15,12,5,2,5,1,1,1,1,1,33,3,9,1,3,3,4,1,2,8,8,31,34,14,6,0,15
"15",65,11,5,45,0,0,5,1,6,0,0,2,4,0,5,1483,0,2,3,0,15,1,0,3,15,0,1,0,77,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,0,0,0,2,1,0,0,3,0,1,1,0,1,1,0,0,0,0,6,2,0,0,1,4,0,0,10,0,103,0,1,1,0,0,0
"16",31,2,24,0,236,0,0,3,3,0,0,0,1,1,2,0,2136,6,4,44,3,0,1,0,1,0,0,0,1,2,0,0,0,0,0,15,2,2,0,1,0,1,31,5,1,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,2,0,0,1
"17",7092,721,666,4,3,33,10,706,468,46,72,12,442,230,2155,0,4,12088,19,2,346,13,18,0,21,0,1,1,6,27,0,0,6,1,0,444,65,675,0,35,3,39,46,736,12,92,7,26,13,345,51,12,7,32,6,15,8,5,6,2,0,0,0,1,23,3,0,3,1,5,3,1,5,1,6,18,31,33,3,16,3
"18",448,26,23,1,20,4,1,15,20,22,5,0,29,3,76,0,19,15,41517,7,112,3,19,0,2,0,0,1,2,28,0,0,5,1,0,309,44,8,0,9,0,1,14,17,1,8,1,2,4,22,1,0,3,7,2,3,0,2,1,1,1,0,2,0,73,4,1012,56,626,217,67,45,43,63,5,37,10,5,2,3,5
"19",57,6,124,0,286,43,0,8,5,0,1,0,2,1,5,0,39,26,3,3433,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,25,1,2,0,5,0,1,17,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,0,0,2,17,2,2,0,1,0,2,7,0,0,2
